GKZ,Gebietsname,Wahlberechtigte,abgegeben,ungueltig,gueltig,Griss,Hofer,Hundstorfer,Khol,Lugner,Van der Bellen
G30509,Ernsthofen,1774,1222,48,1174,187,421,186,180,21,179
G30510,Ertl,1014,738,42,696,70,299,25,208,21,73
G30511,Euratsfeld,2068,1693,96,1597,266,584,85,406,31,225
G30512,Ferschnitz,1411,1109,47,1062,172,380,54,257,27,172
G30514,Haag,4432,2862,95,2767,464,884,271,496,61,591
G30515,Haidershofen,2918,2244,99,2145,326,738,279,350,44,408
G30516,Hollenstein an der Ybbs,1370,1005,36,969,145,297,167,220,27,113
G30517,Kematen an der Ybbs,1948,1411,54,1357,168,550,266,138,47,188
G30520,Neuhofen an der Ybbs,2258,1679,69,1610,247,703,66,336,44,214
G30521,Neustadtl an der Donau,1712,1357,96,1261,158,531,99,319,34,120
G30522,Oed-Oehling,1480,1059,40,1019,151,417,49,178,35,189
G30524,Opponitz,710,555,30,525,67,174,76,109,18,81
G30526,St. Georgen am Reith,449,339,10,329,32,111,49,84,11,42
G30527,St. Georgen am Ybbsfelde,2183,1618,70,1548,242,591,133,324,39,219
G30529,St. Pantaleon-Erla,2078,1508,66,1442,226,503,224,199,34,256
G30530,St. Peter in der Au,4085,3004,141,2863,472,980,205,630,67,509
G30531,St. Valentin,7462,5088,169,4919,802,1677,856,458,109,1017
G30532,Seitenstetten,2607,1933,76,1857,318,632,130,346,45,386
G30533,Sonntagberg,3172,2228,87,2141,324,718,441,275,54,329
G30534,Strengberg,1633,1144,52,1092,173,345,109,258,19,188
G30536,Viehdorf,1059,827,37,790,119,295,66,190,27,93
G30538,Wallsee-Sindelburg,1742,1143,52,1091,181,384,118,198,26,184
G30539,Weistrach,1801,1285,63,1222,220,467,70,278,23,164
G30541,Winklarn,1275,945,39,906,148,335,84,167,17,155
G30542,Wolfsbach,1576,1123,45,1078,169,365,69,302,23,150
G30543,Ybbsitz,2904,2155,87,2068,375,726,133,472,58,304
G30544,Zeillern,1477,1119,43,1076,159,419,63,271,32,132
G30599,Wahlkarten - Amstetten,0,6529,153,6376,1186,1610,857,1031,93,1599
G30600,Baden,105532,78841,1700,77141,14287,28755,9124,6555,2022,16398
G30601,Alland,1977,1307,28,1279,213,575,98,135,43,215
G30602,Altenmarkt an der Triesting,1561,1139,28,1111,173,413,102,227,38,158
G30603,Bad Vöslau,8612,5800,128,5672,1123,1887,648,435,135,1444
G30604,Baden,18855,12217,202,12015,2881,3442,919,1267,244,3262
G30605,Berndorf,6488,4082,98,3984,659,1637,563,249,113,763
G30607,Ebreichsdorf,7867,5193,94,5099,845,2236,628,277,141,972
G30608,Enzesfeld-Lindabrunn,3269,2242,62,2180,403,854,279,151,61,432
G30609,Furth an der Triesting,663,477,9,468,79,182,30,91,18,68
G30612,Günselsdorf,1324,981,30,951,156,417,172,71,30,105
G30613,Heiligenkreuz,1105,838,14,824,174,305,71,98,17,159
G30614,Hernstein,1257,1007,30,977,195,337,90,187,27,141
G30615,Hirtenberg,1648,1104,38,1066,130,503,195,45,32,161
G30616,Klausen-Leopoldsdorf,1266,828,20,808,126,365,77,84,22,134
G30618,Kottingbrunn,5658,3800,68,3732,647,1472,494,223,98,798
G30620,Leobersdorf,3593,2496,68,2428,384,981,301,197,70,495
G30621,Mitterndorf an der Fischa,1735,1165,26,1139,150,578,156,54,23,178
G30623,Oberwaltersdorf,3187,2155,44,2111,444,749,203,172,40,503
G30625,Pfaffstätten,2590,1897,40,1857,392,528,155,193,44,545
G30626,Pottendorf,5119,3443,67,3376,478,1509,437,279,87,586
G30627,Pottenstein,2162,1440,32,1408,204,526,245,138,42,253
G30629,Reisenberg,1269,914,23,891,129,398,150,96,22,96
G30631,Schönau an der Triesting,1575,1100,31,1069,169,455,133,79,33,200
G30633,Seibersdorf,1146,875,28,847,133,366,80,138,22,108
G30635,Sooß,795,574,21,553,137,202,39,58,14,103
G30636,Tattendorf,1069,787,17,770,189,289,73,60,20,139
G30637,Teesdorf,1391,1041,39,1002,158,351,184,91,26,192
G30639,Traiskirchen,13088,9180,228,8952,1493,3649,1171,509,322,1808
G30641,Trumau,2578,1889,57,1832,277,715,329,125,53,333
G30645,Weissenbach an der Triesting,1308,939,19,920,146,382,135,91,34,132
G30646,Blumau-Neurißhof,1377,924,17,907,97,489,111,49,27,134
G30699,Wahlkarten - Baden,0,7007,94,6913,1503,1963,856,686,124,1781
G30700,Bruck an der Leitha,33033,25302,559,24743,3769,9835,3454,3196,578,3911
G30701,Au am Leithaberge,775,580,10,570,72,288,45,102,20,43
G30702,Bad Deutsch-Altenburg,1170,795,21,774,103,359,86,88,21,117
G30703,Berg,513,394,13,381,47,141,68,68,8,49
G30704,Bruck an der Leitha,5882,3940,89,3851,617,1546,546,319,96,727
G30706,Enzersdorf an der Fischa,2525,1820,43,1777,287,727,272,184,29,278
G30708,Göttlesbrunn-Arbesthal,1111,810,14,796,158,330,49,124,19,116
G30709,Götzendorf an der Leitha,1537,1117,31,1086,202,363,175,131,37,178
G30710,Hainburg a.d. Donau,3773,2406,48,2358,306,1100,287,253,50,362
G30711,Haslau-Maria Ellend,1449,1030,15,1015,153,367,140,142,17,196
G30712,Höflein,989,755,20,735,132,319,61,129,9,85
G30713,Hof am Leithaberge,1171,907,20,887,105,423,81,138,24,116
G30715,Hundsheim,458,353,9,344,29,125,80,67,4,39
G30716,Mannersdorf am Leithagebirge,2980,2110,62,2048,261,769,432,174,48,364
G30718,Petronell-Carnuntum,982,694,13,681,109,247,117,74,13,121
G30719,Prellenkirchen,1155,848,16,832,140,329,80,182,24,77
G30721,Rohrau,1238,877,19,858,149,302,97,150,21,139
G30722,Scharndorf,902,692,11,681,112,225,94,134,23,93
G30724,Sommerein,1585,1117,17,1100,149,477,184,119,18,153
G30726,Trautmannsdorf an der Leitha,2269,1598,50,1548,271,551,197,239,49,241
G30728,Wolfsthal,569,435,6,429,53,176,57,85,16,42
G30799,Wahlkarten - Bruck an der Leitha,0,2024,32,1992,314,671,306,294,32,375
G30800,Gänserndorf,76624,57950,1438,56512,8652,22658,8244,7063,1535,8360
G30801,Aderklaa,148,117,3,114,11,40,2,38,3,20
G30802,Andlersdorf,105,76,1,75,21,16,9,26,0,3
G30803,Angern an der March,2554,1869,50,1819,253,713,392,211,39,211
G30804,Auersthal,1473,1111,42,1069,173,330,154,191,19,202
G30805,Bad Pirawarth,1349,968,27,941,178,295,119,194,26,129
G30808,Deutsch-Wagram,6238,4233,73,4160,686,1649,480,366,100,879
G30810,Drösing,948,652,16,636,102,228,120,107,14,65
G30811,Dürnkrut,1806,1309,37,1272,149,523,278,147,36,139
G30812,Ebenthal,673,466,15,451,57,208,53,63,10,60
G30813,Eckartsau,962,683,13,670,97,300,69,129,8,67
G30814,Engelhartstetten,1540,1071,29,1042,126,460,135,189,23,109
G30817,Gänserndorf,7958,5230,86,5144,821,2035,713,433,152,990
G30819,Glinzendorf,206,151,4,147,26,58,11,28,2,22
G30821,Groß-Enzersdorf,7961,5329,85,5244,956,2141,655,420,129,943
G30822,Großhofen,60,49,3,46,1,21,0,20,0,4
G30824,Groß-Schweinbarth,994,777,25,752,116,260,115,147,16,98
G30825,Haringsee,914,636,18,618,94,224,83,128,24,65
G30826,Hauskirchen,1021,695,23,672,90,275,84,140,31,52
G30827,Hohenau an der March,2151,1427,31,1396,130,632,377,94,38,125
G30828,Hohenruppersdorf,754,550,20,530,109,169,49,124,9,70
G30829,Jedenspeigen,905,672,20,652,104,201,124,149,14,60
G30830,Lassee,2019,1380,24,1356,204,642,168,149,45,148
G30831,Leopoldsdorf im Marchfelde,2037,1454,19,1435,203,621,232,104,36,239
G30834,Mannsdorf an der Donau,281,219,2,217,47,77,17,44,6,26
G30835,Marchegg,2116,1428,25,1403,173,634,270,118,41,167
G30836,Markgrafneusiedl,679,504,18,486,60,211,80,60,13,62
G30838,Matzen-Raggendorf,2115,1568,43,1525,234,617,198,205,48,223
G30841,Neusiedl an der Zaya,1032,753,37,716,97,307,75,142,22,73
G30842,Obersiebenbrunn,1296,843,21,822,116,374,127,65,21,119
G30844,Orth an der Donau,1612,1051,21,1030,187,425,109,133,41,135
G30845,Palterndorf-Dobermannsdorf,1033,752,23,729,100,329,86,140,16,58
G30846,Parbasdorf,128,103,1,102,31,22,1,30,2,16
G30848,Prottes,1089,755,17,738,99,281,107,116,30,105
G30849,Raasdorf,422,326,6,320,58,126,29,64,6,37
G30850,Ringelsdorf-Niederabsdorf,1079,771,20,751,79,279,206,111,18,58
G30852,Schönkirchen-Reyersdorf,1512,1088,27,1061,166,424,154,125,31,161
G30854,Spannberg,777,575,25,550,74,283,56,81,10,46
G30856,Strasshof an der Nordbahn,6936,4525,88,4437,684,1917,725,200,140,771
G30857,Sulz im Weinviertel,1002,717,36,681,91,260,84,154,29,63
G30858,Untersiebenbrunn,1355,927,16,911,113,484,154,43,28,89
G30859,Velm-Götzendorf,629,497,12,485,79,197,55,91,13,50
G30860,Weikendorf,1545,1094,22,1072,187,400,161,143,34,147
G30863,Zistersdorf,4463,3176,138,3038,397,1272,335,631,73,330
G30865,Weiden an der March,747,520,17,503,72,194,48,135,14,40
G30899,Wahlkarten - Gänserndorf,0,4853,159,4694,801,1504,745,635,125,884
G30900,Gmünd,31212,24293,969,23324,3313,8216,3687,4101,844,3163
G30902,Amaliendorf-Aalfang,929,637,30,607,80,245,140,38,24,80
G30903,Brand-Nagelberg,1359,937,38,899,89,308,261,88,45,108
G30904,Eggern,574,418,15,403,24,179,53,74,24,49
G30906,Eisgarn,577,431,20,411,58,133,70,94,19,37
G30908,Gmünd,4390,2790,91,2699,396,939,503,333,82,446
G30909,Großdietmanns,1891,1394,55,1339,166,515,153,283,59,163
G30910,Bad Großpertholz,1137,787,30,757,126,266,88,151,27,99
G30912,Großschönau,1016,765,52,713,121,300,27,161,21,83
G30913,Moorbad Harbach,583,448,23,425,53,153,40,95,14,70
G30915,Haugschlag,392,289,13,276,31,116,36,63,15,15
G30916,Heidenreichstein,3430,2297,72,2225,337,780,418,319,85,286
G30917,Hirschbach,490,376,7,369,51,116,70,75,10,47
G30920,Hoheneich,1189,846,47,799,110,280,112,137,27,133
G30921,Kirchberg am Walde,1114,823,33,790,108,314,75,186,36,71
G30925,Litschau,1980,1261,49,1212,178,450,171,236,51,126
G30929,Reingers,547,384,6,378,40,157,34,108,13,26
G30932,St. Martin,949,645,31,614,99,245,63,101,30,76
G30935,Schrems,4532,3018,111,2907,391,1014,617,403,97,385
G30939,Unserfrau-Altweitra,827,596,41,555,64,199,43,161,20,68
G30940,Waldenstein,1002,728,45,683,101,238,47,207,22,68
G30942,Weitra,2304,1596,65,1531,259,512,169,341,46,204
G30999,Wahlkarten - Gmünd,0,2827,95,2732,431,757,497,447,77,523
G31000,Hollabrunn,41284,32720,1060,31660,5218,10812,3882,6554,1061,4133
G31001,Alberndorf im Pulkautal,628,427,20,407,61,170,53,63,13,47
G31008,Göllersdorf,2311,1709,42,1667,284,609,185,306,53,230
G31009,Grabern,1192,919,44,875,154,317,70,209,29,96
G31014,Guntersdorf,926,689,34,655,90,242,82,159,11,71
G31015,Hadres,1425,1070,47,1023,151,396,126,209,41,100
G31016,Hardegg,1113,871,25,846,115,306,101,224,30,70
G31018,Haugsdorf,1322,920,48,872,113,347,129,137,50,96
G31019,Heldenberg,1034,730,20,710,132,239,54,181,15,89
G31021,Hohenwarth-Mühlbach a.M.,1065,815,29,786,147,288,81,176,22,72
G31022,Hollabrunn,9103,6411,166,6245,1168,2163,634,1100,189,991
G31025,Mailberg,467,372,13,359,40,138,73,67,9,32
G31026,Maissau,1639,1174,47,1127,195,362,139,230,36,165
G31028,Nappersdorf-Kammersdorf,1035,724,19,705,83,255,82,184,25,76
G31033,Pernersdorf,836,604,16,588,76,225,115,117,13,42
G31035,Pulkau,1280,896,43,853,127,272,129,211,24,90
G31036,Ravelsbach,1334,916,26,890,137,337,105,160,39,112
G31037,Retz,3623,2346,86,2260,391,741,267,416,101,344
G31038,Retzbach,832,622,22,600,95,216,63,146,12,68
G31041,Schrattenthal,704,525,22,503,75,114,96,133,19,66
G31042,Seefeld-Kadolz,784,531,15,516,62,171,136,81,25,41
G31043,Sitzendorf an der Schmida,1788,1354,45,1309,223,418,152,347,46,123
G31051,Wullersdorf,1974,1429,39,1390,193,510,160,338,59,130
G31052,Zellerndorf,2081,1589,48,1541,240,522,230,315,56,178
G31053,Ziersdorf,2788,2019,78,1941,333,653,236,387,88,244
G31099,Wahlkarten - Hollabrunn,0,3058,66,2992,533,801,384,658,56,560
G31100,Horn,25872,20770,772,19998,3191,6901,1879,4756,608,2663
G31101,Altenburg,650,449,15,434,69,178,33,85,13,56
G31102,Brunn an der Wild,692,510,22,488,59,180,18,175,9,47
G31103,Burgschleinitz-Kühnring,1139,850,28,822,104,319,58,209,31,101
G31104,Drosendorf-Zissersdorf,1022,764,35,729,154,296,47,133,24,75
G31105,Eggenburg,2866,1955,62,1893,343,639,216,307,70,318
G31106,Gars am Kamp,2949,2070,61,2009,377,707,195,374,46,310
G31107,Geras,1122,856,32,824,115,312,68,250,27,52
G31109,Horn,5269,3420,102,3318,589,1216,290,572,103,548
G31110,Irnfritz-Messern,1190,911,40,871,100,400,63,230,21,57
G31111,Japons,597,437,12,425,56,129,20,182,10,28
G31113,Langau,587,436,14,422,49,124,44,160,12,33
G31114,Meiseldorf,777,548,29,519,78,143,65,147,26,60
G31117,Pernegg,626,493,22,471,64,166,36,144,14,47
G31119,Röhrenbach,440,329,16,313,30,91,15,144,9,24
G31120,Röschitz,877,667,37,630,108,198,80,157,24,63
G31121,Rosenburg-Mold,651,463,16,447,77,187,42,93,14,34
G31123,St. Bernhard-Frauenhofen,1045,789,28,761,114,256,51,229,16,95
G31124,Sigmundsherberg,1403,1010,47,963,104,316,189,208,31,115
G31129,Weitersfeld,1343,1009,55,954,142,303,55,333,36,85
G31130,Straning-Grafenberg,627,436,10,426,66,128,68,100,12,52
G31199,Wahlkarten - Horn,0,2368,89,2279,393,613,226,524,60,463
G31200,Korneuburg,60325,47113,1096,46017,9207,15361,4811,6123,1087,9428
G31201,Bisamberg,3612,2543,36,2507,626,598,209,354,53,667
G31202,Enzersfeld im Weinviertel,1369,1011,23,988,189,338,127,141,29,164
G31203,Ernstbrunn,2582,1776,69,1707,299,676,161,318,33,220
G31204,Großmugl,1294,921,36,885,162,310,51,221,16,125
G31205,Großrußbach,1699,1208,53,1155,189,425,87,231,29,194
G31206,Hagenbrunn,1600,1173,30,1143,237,402,110,172,27,195
G31207,Harmannsdorf,3185,2366,63,2303,459,809,201,406,51,377
G31208,Hausleiten,2915,2073,61,2012,341,827,170,305,58,311
G31213,Korneuburg,9359,6103,109,5994,1214,1991,597,586,145,1461
G31214,Langenzersdorf,6394,4525,77,4448,1132,1265,367,471,93,1120
G31215,Leitzersdorf,983,723,17,706,130,275,45,131,19,106
G31216,Leobendorf,3842,2799,63,2736,598,874,320,315,55,574
G31224,Rußbach,1120,827,31,796,129,300,56,172,35,104
G31226,Sierndorf,3069,2210,62,2148,356,830,185,391,44,342
G31227,Spillern,1686,1178,22,1156,204,405,180,85,45,237
G31228,Stetteldorf am Wagram,843,644,18,626,117,242,59,117,14,77
G31229,Stetten,1059,788,23,765,128,273,114,86,15,149
G31230,Stockerau,12498,8349,189,8160,1485,2903,1164,732,207,1669
G31234,Niederhollabrunn,1216,893,14,879,184,326,68,139,28,134
G31299,Wahlkarten - Korneuburg,0,5003,100,4903,1028,1292,540,750,91,1202
G31300,Krems(Land),46154,37640,1384,36256,6308,12851,3681,6469,1115,5832
G31301,Aggsbach,569,425,21,404,58,120,105,50,21,50
G31302,Albrechtsberg an der Großen Krems,872,649,32,617,67,230,74,152,27,67
G31303,Bergern im Dunkelsteinerwald,1038,799,29,770,143,278,70,158,32,89
G31304,Dürnstein,726,562,21,541,126,150,67,111,9,78
G31308,Grafenegg,2448,1890,75,1815,325,616,172,338,54,310
G31309,Furth bei Göttweig,2346,1690,61,1629,325,479,202,270,54,299
G31310,Gedersdorf,1740,1316,47,1269,174,531,158,183,42,181
G31311,Gföhl,3111,2180,95,2085,318,860,194,391,84,238
G31315,Hadersdorf-Kammern,1614,1168,39,1129,225,437,149,122,37,159
G31319,Jaidhof,946,717,33,684,102,241,62,176,25,78
G31321,Krumau am Kamp,643,453,22,431,63,169,43,98,15,43
G31322,Langenlois,6128,4381,126,4255,769,1647,342,590,114,793
G31323,Lengenfeld,1158,919,32,887,149,330,108,164,23,113
G31324,Lichtenau im Waldviertel,1714,1272,72,1200,148,485,83,322,57,105
G31326,Maria Laach am Jauerling,763,565,23,542,76,168,30,174,17,77
G31327,Mautern an der Donau,2885,2069,71,1998,406,671,179,301,57,384
G31330,Mühldorf,1158,876,38,838,133,277,109,185,22,112
G31333,Paudorf,2081,1558,38,1520,220,558,264,188,52,238
G31336,Rastenfeld,1235,935,44,891,148,351,64,234,24,70
G31337,Rohrendorf bei Krems,1598,1136,38,1098,179,379,120,170,27,223
G31338,Rossatz-Arnsdorf,893,679,26,653,142,212,70,107,24,98
G31340,St. Leonhard am Hornerwald,957,717,34,683,77,285,46,153,23,99
G31343,Senftenberg,1585,1124,40,1084,211,380,133,151,37,172
G31344,Spitz,1353,1046,50,996,185,355,91,213,24,128
G31346,Straß im Straßertale,1277,1002,44,958,175,301,87,200,25,170
G31347,Stratzing,701,527,13,514,86,174,33,112,10,99
G31350,Weinzierl am Walde,1069,774,34,740,82,335,60,168,32,63
G31351,Weißenkirchen in der Wachau,1215,885,46,839,172,249,80,147,29,162
G31355,Schönberg am Kamp,1544,1207,38,1169,239,425,84,198,32,191
G31356,Droß,787,627,25,602,134,209,47,71,12,129
G31399,Wahlkarten - Krems(Land),0,3492,77,3415,651,949,355,572,74,814
G31400,Lilienfeld,20484,16311,574,15737,2481,5574,2396,2343,517,2426
G31401,Annaberg,448,313,12,301,45,69,34,87,12,54
G31402,Eschenau,1054,746,40,706,108,283,62,120,22,111
G31403,Hainfeld,2926,2048,68,1980,273,749,319,276,61,302
G31404,Hohenberg,1234,870,27,843,125,298,173,77,33,137
G31405,Kaumberg,816,606,18,588,98,253,44,120,19,54
G31406,Kleinzell,683,498,20,478,56,227,32,109,10,44
G31407,Lilienfeld,2085,1427,43,1384,262,446,184,187,35,270
G31408,Mitterbach am Erlaufsee,415,307,10,297,41,109,30,72,13,32
G31409,Ramsau,632,457,14,443,64,194,32,75,16,62
G31410,Rohrbach an der Gölsen,1275,965,33,932,176,299,108,166,32,151
G31411,St. Aegyd am Neuwalde,1625,1126,54,1072,138,385,237,128,30,154
G31412,St. Veit an der Gölsen,3141,2325,103,2222,364,796,314,339,89,320
G31413,Traisen,2547,1690,45,1645,241,615,371,109,51,258
G31414,Türnitz,1603,1178,41,1137,185,448,119,214,47,124
G31499,Wahlkarten - Lilienfeld,0,1755,46,1709,305,403,337,264,47,353
G31500,Melk,61717,48022,1630,46392,7193,17172,5720,8062,1397,6848
G31502,Artstetten-Pöbring,975,710,28,682,97,228,61,190,28,78
G31503,Bergland,1517,1094,44,1050,160,414,82,248,23,123
G31504,Bischofstetten,970,732,13,719,94,242,97,158,31,97
G31505,Blindenmarkt,1963,1352,35,1317,203,659,110,159,43,143
G31506,Dorfstetten,474,332,15,317,28,128,52,72,18,19
G31507,Dunkelsteinerwald,1929,1448,59,1389,218,615,120,233,42,161
G31508,Erlauf,847,624,21,603,122,190,75,92,28,96
G31509,Golling an der Erlauf,1190,802,26,776,90,342,192,28,27,97
G31511,Hofamt Priel,1392,1023,39,984,131,371,143,148,29,162
G31513,Hürm,1454,1048,64,984,158,391,53,241,37,104
G31514,Kilb,2064,1487,59,1428,235,506,80,323,41,243
G31515,Kirnberg an der Mank,845,678,27,651,116,245,24,171,24,71
G31516,Klein-Pöchlarn,817,580,21,559,83,177,111,76,19,93
G31517,Krummnußbaum,1199,820,17,803,127,252,133,108,25,158
G31519,Leiben,1109,744,20,724,85,249,161,120,29,80
G31520,Loosdorf,3058,2006,55,1951,299,742,361,210,47,292
G31521,Mank,2545,1834,48,1786,304,601,122,401,46,312
G31522,Marbach an der Donau,1322,896,30,866,135,367,146,73,35,110
G31523,Maria Taferl,711,548,24,524,49,210,60,85,31,89
G31524,Melk,4055,2745,56,2689,573,866,234,392,63,561
G31525,Münichreith-Laimbach,1362,940,43,897,102,422,101,150,28,94
G31527,Neumarkt an der Ybbs,1534,1021,40,981,151,416,128,105,33,148
G31528,Nöchling,843,609,19,590,76,195,85,132,14,88
G31530,Persenbeug-Gottsdorf,1830,1249,47,1202,154,435,256,113,42,202
G31531,Petzenkirchen,1006,694,26,668,97,256,115,80,19,101
G31533,Pöchlarn,3030,1822,62,1760,304,674,255,189,56,282
G31534,Pöggstall,2017,1399,54,1345,192,571,113,295,46,128
G31535,Raxendorf,885,653,20,633,63,239,72,186,22,51
G31537,Ruprechtshofen,1823,1367,69,1298,194,528,71,311,36,158
G31539,St. Leonhard am Forst,2501,1746,74,1672,260,730,150,301,37,194
G31540,St. Martin-Karlsbach,1398,1051,41,1010,179,377,128,157,40,129
G31541,St. Oswald,888,597,38,559,64,170,62,202,17,44
G31542,Schönbühel-Aggsbach,844,608,15,593,100,215,60,91,21,106
G31543,Schollach,785,581,18,563,74,241,63,98,12,75
G31546,Weiten,895,601,17,584,69,208,59,172,21,55
G31549,Ybbs an der Donau,4306,2695,72,2623,385,953,474,300,75,436
G31550,Zelking-Matzleinsdorf,1028,771,21,750,151,225,77,145,24,128
G31551,Texingtal,1267,952,46,906,139,286,45,289,28,119
G31552,Yspertal,1625,1111,49,1062,135,438,150,194,33,112
G31553,Emmersdorf an der Donau,1414,967,31,936,184,306,110,160,23,153
G31599,Wahlkarten - Melk,0,5085,127,4958,813,1492,729,864,104,956
G31600,Mistelbach,60680,48315,1479,46836,7568,17252,5316,8832,1199,6669
G31601,Altlichtenwarth,627,399,4,395,45,157,44,105,16,28
G31603,Asparn an der Zaya,1432,1085,25,1060,133,462,158,178,27,102
G31604,Bernhardsthal,1359,972,31,941,118,379,158,165,33,88
G31605,Bockfließ,1078,832,24,808,138,272,98,146,20,134
G31606,Drasenhofen,872,661,7,654,76,268,45,194,21,50
G31608,Falkenstein,391,282,6,276,43,59,9,97,11,57
G31609,Fallbach,689,505,17,488,81,127,29,197,11,43
G31611,Gaubitsch,731,574,36,538,101,212,17,142,17,49
G31612,Gaweinstal,3036,2106,52,2054,303,882,213,359,46,251
G31613,Gnadendorf,949,703,31,672,102,225,50,204,18,73
G31614,Großebersdorf,1803,1345,38,1307,187,556,124,211,34,195
G31615,Großengersdorf,1131,887,30,857,135,309,139,130,22,122
G31616,Großharras,957,679,23,656,76,258,67,176,21,58
G31617,Großkrut,1325,988,52,936,106,383,129,192,27,99
G31620,Hausbrunn,702,532,8,524,50,210,138,78,16,32
G31621,Herrnbaumgarten,783,590,14,576,109,239,42,126,14,46
G31622,Hochleithen,945,719,13,706,101,267,99,122,18,99
G31627,Kreuttal,1170,868,26,842,171,269,107,128,18,149
G31628,Kreuzstetten,1305,968,28,940,179,344,100,128,16,173
G31629,Laa an der Thaya,5109,3622,125,3497,556,1344,519,558,73,447
G31630,Ladendorf,1862,1349,46,1303,201,453,155,244,39,211
G31633,Mistelbach,9125,6214,188,6026,1115,2222,683,802,153,1051
G31634,Neudorf bei Staatz,1161,800,29,771,93,348,76,149,30,75
G31636,Niederleis,724,526,22,504,67,189,68,86,13,81
G31642,Pillichsdorf,944,766,16,750,113,249,72,138,14,164
G31644,Poysdorf,4403,3113,116,2997,437,1192,274,713,109,272
G31645,Rabensburg,921,592,15,577,43,305,130,36,21,42
G31646,Schrattenberg,666,476,16,460,61,181,37,137,17,27
G31649,Staatz,1664,1212,69,1143,140,472,148,251,30,102
G31650,Stronsdorf,1365,1041,26,1015,140,422,61,278,33,81
G31651,Ulrichskirchen-Schleinbach,2083,1563,54,1509,268,537,186,192,41,285
G31652,Unterstinkenbrunn,474,330,9,321,59,114,25,93,6,24
G31653,Wildendürnbach,1284,962,42,920,149,355,68,237,26,85
G31654,Wilfersdorf,1729,1286,44,1242,178,534,161,206,29,134
G31655,Wolkersdorf im Weinviertel,5387,3994,81,3913,810,1054,363,643,73,970
G31658,Ottenthal,494,372,26,346,57,117,27,116,4,25
G31699,Wahlkarten - Mistelbach,0,4402,90,4312,827,1286,497,875,82,745
G31700,Mödling,88994,68970,996,67974,16447,18634,6359,6508,1329,18697
G31701,Achau,1069,740,12,728,126,259,94,63,18,168
G31702,Biedermannsdorf,2322,1618,32,1586,393,483,125,158,28,399
G31703,Breitenfurt bei Wien,4662,3315,50,3265,807,882,275,306,65,930
G31704,Brunn am Gebirge,8604,6026,86,5940,1415,1664,619,492,126,1624
G31706,Gaaden,1261,954,9,945,305,225,67,74,28,246
G31707,Gießhübl,1683,1267,14,1253,352,292,78,130,22,379
G31709,Gumpoldskirchen,2909,2012,41,1971,451,575,155,185,46,559
G31710,Guntramsdorf,6903,4912,104,4808,948,1666,665,288,111,1130
G31711,Hennersdorf,1250,946,20,926,202,333,102,82,14,193
G31712,Hinterbrühl,2948,2059,35,2024,579,480,124,231,35,575
G31713,Kaltenleutgeben,2547,1832,22,1810,414,580,195,133,31,457
G31714,Laab im Walde,915,665,10,655,141,132,58,106,10,208
G31715,Laxenburg,2157,1454,26,1428,359,377,119,178,20,375
G31716,Maria Enzersdorf,6522,4381,52,4329,1253,925,229,508,74,1340
G31717,Mödling,15036,9771,143,9628,2428,2261,813,977,168,2981
G31718,Münchendorf,2256,1639,24,1615,326,601,202,125,41,320
G31719,Perchtoldsdorf,11698,8176,96,8080,2227,1965,546,897,143,2302
G31723,Vösendorf,5027,3100,42,3058,487,1272,401,207,71,620
G31725,Wiener Neudorf,7127,4833,84,4749,974,1513,640,299,130,1193
G31726,Wienerwald,2098,1544,22,1522,304,514,130,182,36,356
G31799,Wahlkarten - Mödling,0,7726,72,7654,1956,1635,722,887,112,2342
G31800,Neunkirchen,68108,51837,1445,50392,7974,20189,7082,6238,1368,7541
G31801,Altendorf,277,215,5,210,39,96,10,42,6,17
G31802,Aspang-Markt,1560,1107,36,1071,196,403,114,197,27,134
G31803,Aspangberg-St. Peter,1569,1118,37,1081,157,490,96,212,21,105
G31804,Breitenau,1277,959,29,930,142,366,173,85,18,146
G31805,Breitenstein,283,162,6,156,15,63,23,30,4,21
G31806,Buchbach,295,203,4,199,30,53,32,37,7,40
G31807,Edlitz,766,568,22,546,92,204,46,113,18,73
G31808,Enzenreith,1586,1114,30,1084,174,451,149,110,20,180
G31809,Feistritz am Wechsel,874,659,19,640,83,281,53,129,15,79
G31810,Gloggnitz,4647,3052,77,2975,498,1264,424,255,88,446
G31811,Grafenbach-St. Valentin,1770,1327,43,1284,204,491,228,148,41,172
G31812,Grimmenstein,1119,817,25,792,112,285,128,139,22,106
G31813,Grünbach am Schneeberg,1283,845,21,824,107,357,150,62,33,115
G31814,Kirchberg am Wechsel,1947,1398,47,1351,218,600,64,284,31,154
G31815,Mönichkirchen,515,341,11,330,45,156,20,78,10,21
G31817,Natschbach-Loipersbach,1382,1019,28,991,179,404,72,133,26,177
G31818,Neunkirchen,8957,5381,137,5244,779,2127,775,426,146,991
G31820,Otterthal,464,319,8,311,42,141,37,58,9,24
G31821,Payerbach,1709,1079,24,1055,192,401,168,108,38,148
G31823,Pitten,2120,1495,36,1459,290,602,198,120,35,214
G31825,Prigglitz,366,251,3,248,45,117,18,36,6,26
G31826,Puchberg am Schneeberg,2212,1524,60,1464,242,623,219,151,44,185
G31827,Raach am Hochgebirge,236,183,0,183,21,57,16,64,5,20
G31829,Reichenau an der Rax,2102,1452,36,1416,240,589,186,154,32,215
G31830,St. Corona am Wechsel,299,211,6,205,32,94,7,50,6,16
